02RETORNO01COBRANÇA       12340000004328003450CLIENTE DE TESTE              001 - BANCO DO BRA1003090000476                                                                                                                                                                                                                                                                                               000001
1020123456789000012340000003450000000                         000020340501000000000OU00000000000000000000 0205090309                              070309000000003690639924000990903090000160000000000000000000000000000000000000000000000000000000000000000000000000036906000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000002
1020123456789000012340000003450000000                         000020367835000000000OU00000000000000000000 0205090309                              050308000000004346800133000990903090000160000000000000000000000000000000000000000000000000000000000000000000000000044393000000000092500000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000003
1020123456789000012340000003450000000                         000042964540000000000OU00000000000000000000 0205090309                              200209000000004828700112340990903090000160000000000027100000000000000000000000000000000000000000000000000000000000049524000000000096600000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000004
1020123456789000012340000003450000000                         000042968680000000000OU00000000000000000000 0205090309                              100309000000005222410410090990903090000160000000000000000000000000000000000000000000000000000000000000000000000000052224000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000005
1020123456789000012340000003450000000                         000042968706000000000OU00000000000000000000 0205090309                              100309000000003539910413400990903090000160000000000000000000000000000000000000000000000000000000000000000000000000035399000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000006
1020123456789000012340000003450000000                         000042968713000000000OU00000000000000000000 0205090309                              150309000000002751310410090990903090000160000000000000000000000000000000000000000000000000000000000000000000000000027513000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000007
1020123456789000012340000003450000000                         000042968738000000000OU00000000000000000000 0205090309                              090309000000003640323727110990903090000160000000000000000000000000000000000000000000000000000000000000000000000000036403000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000008
1020123456789000012340000003450000000                         000042968752000000000OU00000000000000000000 0205090309                              070309000000003137110413400990903090000160000000000000000000000000000000000000000000000000000000000000000000000000031371000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000009
1020123456789000012340000003450000000                         000042968760000000000OU00000000000000000000 0205090309                              070309000000003130910413400990903090000160000000000000000000000000000000000000000000000000000000000000000000000000031309000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000010
1020123456789000012340000003450000000                         000042968777000000000OU00000000000000000000 0205090309                              100309000000001898110430370990903090000160000000000000000000000000000000000000000000000000000000000000000000000000018981000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000011
1020123456789000012340000003450000000                         000042968791000000000OU00000000000000000000 0205090309                              090309000000004922310410090990903090000160000000000000000000000000000000000000000000000000000000000000000000000000049223000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000012
1020123456789000012340000003450000000                         000042968817000000000OU00000000000000000000 0205090309                              100309000000005660010410090990903090000160000000000000000000000000000000000000000000000000000000000000000000000000056600000000000000000000000000000000000000000000000000016020000000000000          0000000000000000000000000000000000000000000000000000000013
9020011234AGENCIA DE TESTE         RUA DE TESTE                                      SETOR CENTRAL                 74000000GOIÂNIA                       GO100320090000001200000000000                                                                                                                                                                                                                    000014
